PC1,PC2,PC3,pH,soilN,AM_rel_abundance_colonization,AM_roots_colonized,aridity_index
LOC_Os07g01340,HORVU.MOREX.r3.1HG0069540,HORVU.MOREX.r3.4HG0333010,LOC_Os04g05730,HORVU.MOREX.r3.6HG0560140,HORVU.MOREX.r3.4HG0414140,HORVU.MOREX.r3.3HG0330120,
LOC_Os06g06140,HORVU.MOREX.r3.2HG0197560,HORVU.MOREX.r3.6HG0629000,LOC_Os11g01470,HORVU.MOREX.r3.7HG0669790,HORVU.MOREX.r3.6HG0540980,HORVU.MOREX.r3.2HG0169240,
LOC_Os01g06090,HORVU.MOREX.r3.6HG0619260,HORVU.MOREX.r3.7HG0641950,LOC_Os03g05770,HORVU.MOREX.r3.3HG0310660,HORVU.MOREX.r3.5HG0525980,HORVU.MOREX.r3.6HG0616240,
LOC_Os01g01790,HORVU.MOREX.r3.3HG0228230,HORVU.MOREX.r3.4HG0401620,LOC_Os04g05560,HORVU.MOREX.r3.4HG0342810,HORVU.MOREX.r3.6HG0616240,AT1G14540,
LOC_Os11g05940,HORVU.MOREX.r3.5HG0420230,HORVU.MOREX.r3.2HG0172990,LOC_Os10g04760,HORVU.MOREX.r3.5HG0515880,HORVU.MOREX.r3.7HG0657010,AT1G68850,
LOC_Os07g01050,HORVU.MOREX.r3.7HG0715890,HORVU.MOREX.r3.6HG0612680,LOC_Os01g01360,HORVU.MOREX.r3.3HG0314780,HORVU.MOREX.r3.7HG0655100,AT2G38380,
LOC_Os08g01008,HORVU.MOREX.r3.7HG0747720,HORVU.MOREX.r3.2HG0139400,LOC_Os07g05810,HORVU.MOREX.r3.1HG0079200,HORVU.MOREX.r3.7HG0640150,AT4G11290,
LOC_Os03g08030,HORVU.MOREX.r3.1HG0067930,HORVU.MOREX.r3.1HG0088480,LOC_Os08g05290,HORVU.MOREX.r3.2HG0107690,HORVU.MOREX.r3.2HG0178520,AT5G40150,
LOC_Os10g01540,HORVU.MOREX.r3.6HG0618250,HORVU.MOREX.r3.7HG0718040,LOC_Os03g07640,HORVU.MOREX.r3.1HG0093050,AT5G40330,AT5G58390,
HORVU.MOREX.r3.2HG0202320,HORVU.MOREX.r3.1HG0088480,HORVU.MOREX.r3.5HG0522100,LOC_Os05g05740,HORVU.MOREX.r3.1HG0077830,AT5G06230,AT1G06700,
HORVU.MOREX.r3.2HG0198640,HORVU.MOREX.r3.6HG0543250,HORVU.MOREX.r3.1HG0006210,LOC_Os01g01280,HORVU.MOREX.r3.3HG0290910,AT5G19160,AT2G41970,
HORVU.MOREX.r3.3HG0303800,HORVU.MOREX.r3.7HG0718040,HORVU.MOREX.r3.3HG0219270,LOC_Os01g01410,HORVU.MOREX.r3.7HG0748730,AT3G17180,AT1G25280,
HORVU.MOREX.r3.1HG0017980,HORVU.MOREX.r3.2HG0096800,HORVU.MOREX.r3.2HG0204820,LOC_Os02g05120,HORVU.MOREX.r3.5HG0525620,AT4G30610,AT1G35910,
HORVU.MOREX.r3.2HG0159100,HORVU.MOREX.r3.7HG0712330,HORVU.MOREX.r3.6HG0545630,LOC_Os03g01490,HORVU.MOREX.r3.7HG0734670,AT4G30810,AT5G51460,
HORVU.MOREX.r3.4HG0332600,HORVU.MOREX.r3.6HG0560140,HORVU.MOREX.r3.6HG0558810,HORVU.MOREX.r3.1HG0002320,HORVU.MOREX.r3.1HG0084770,AT1G56360,AT2G30310,
HORVU.MOREX.r3.1HG0083700,HORVU.MOREX.r3.7HG0668730,HORVU.MOREX.r3.5HG0496910,HORVU.MOREX.r3.5HG0471130,HORVU.MOREX.r3.3HG0222580,AT3G20500,AT2G40250,
HORVU.MOREX.r3.1HG0025050,HORVU.MOREX.r3.1HG0014680,HORVU.MOREX.r3.1HG0090920,HORVU.MOREX.r3.5HG0465270,HORVU.MOREX.r3.5HG0491590,AT5G57100,AT1G54690,
HORVU.MOREX.r3.2HG0112600,HORVU.MOREX.r3.5HG0515880,HORVU.MOREX.r3.7HG0717980,HORVU.MOREX.r3.7HG0667290,HORVU.MOREX.r3.5HG0475770,AT1G31120,AT3G20670,
HORVU.MOREX.r3.2HG0112660,HORVU.MOREX.r3.1HG0046890,AT2G16430,HORVU.MOREX.r3.1HG0054280,HORVU.MOREX.r3.6HG0627070,AT1G60160,AT5G54640,
HORVU.MOREX.r3.2HG0112670,HORVU.MOREX.r3.3HG0289950,AT3G07330,HORVU.MOREX.r3.2HG0112720,HORVU.MOREX.r3.2HG0184580,AT2G40540,AT2G38080,
HORVU.MOREX.r3.2HG0112720,HORVU.MOREX.r3.4HG0412780,AT4G07960,HORVU.MOREX.r3.6HG0618250,HORVU.MOREX.r3.2HG0184590,AT1G58360,AT3G09220,
HORVU.MOREX.r3.5HG0494460,HORVU.MOREX.r3.7HG0716920,AT1G12560,HORVU.MOREX.r3.1HG0075890,HORVU.MOREX.r3.2HG0098810,AT1G12110,AT4G39830,
HORVU.MOREX.r3.2HG0186650,HORVU.MOREX.r3.7HG0716940,AT5G02260,HORVU.MOREX.r3.5HG0492640,HORVU.MOREX.r3.3HG0316870,AT1G32450,AT3G55590,
HORVU.MOREX.r3.5HG0513800,HORVU.MOREX.r3.1HG0080750,AT1G15950,HORVU.MOREX.r3.7HG0682170,HORVU.MOREX.r3.4HG0334450,AT1G68570,AT3G19480,
HORVU.MOREX.r3.7HG0634830,HORVU.MOREX.r3.4HG0385690,AT1G68540,HORVU.MOREX.r3.2HG0190470,HORVU.MOREX.r3.4HG0333450,AT2G37900,AT4G34200,
HORVU.MOREX.r3.5HG0512730,HORVU.MOREX.r3.3HG0280890,AT4G30470,HORVU.MOREX.r3.7HG0750280,HORVU.MOREX.r3.7HG0650330,AT2G40460,AT4G28270,
HORVU.MOREX.r3.3HG0303750,HORVU.MOREX.r3.3HG0222580,AT4G05160,HORVU.MOREX.r3.3HG0280890,HORVU.MOREX.r3.7HG0650650,AT3G21670,AT5G15240,
HORVU.MOREX.r3.1HG0077960,HORVU.MOREX.r3.4HG0412770,AT2G30310,HORVU.MOREX.r3.1HG0061140,HORVU.MOREX.r3.7HG0650710,AT3G45680,AT4G36360,
HORVU.MOREX.r3.5HG0511460,HORVU.MOREX.r3.7HG0651280,AT2G31540,HORVU.MOREX.r3.2HG0159620,HORVU.MOREX.r3.7HG0650790,AT2G05920,AT1G58360,
HORVU.MOREX.r3.5HG0502190,HORVU.MOREX.r3.3HG0290220,AT5G33370,HORVU.MOREX.r3.6HG0606110,HORVU.MOREX.r3.3HG0226150,AT1G14540,AT5G55930,
HORVU.MOREX.r3.3HG0313080,HORVU.MOREX.r3.6HG0620440,AT4G25790,HORVU.MOREX.r3.2HG0198640,HORVU.MOREX.r3.6HG0618920,AT1G49570,AT1G12110,
HORVU.MOREX.r3.3HG0329000,HORVU.MOREX.r3.6HG0620630,AT5G26130,HORVU.MOREX.r3.6HG0539180,HORVU.MOREX.r3.6HG0618950,AT2G24800,AT1G59740,
HORVU.MOREX.r3.4HG0393620,HORVU.MOREX.r3.5HG0419880,AT4G30610,HORVU.MOREX.r3.7HG0650710,HORVU.MOREX.r3.4HG0405920,AT3G17070,AT1G68570,
HORVU.MOREX.r3.2HG0097810,HORVU.MOREX.r3.6HG0618100,AT4G30810,HORVU.MOREX.r3.7HG0650790,HORVU.MOREX.r3.3HG0310670,AT5G06720,AT2G40460,
HORVU.MOREX.r3.3HG0323440,HORVU.MOREX.r3.3HG0276050,AT1G21890,HORVU.MOREX.r3.4HG0332980,HORVU.MOREX.r3.1HG0010640,AT5G58390,AT3G21670,
HORVU.MOREX.r3.7HG0656250,HORVU.MOREX.r3.6HG0553280,AT4G08300,HORVU.MOREX.r3.6HG0623790,HORVU.MOREX.r3.1HG0007240,AT1G17750,AT3G45660,
HORVU.MOREX.r3.3HG0316870,HORVU.MOREX.r3.6HG0553290,AT1G71000,HORVU.MOREX.r3.6HG0626000,HORVU.MOREX.r3.1HG0007250,AT2G02220,AT1G72300,
HORVU.MOREX.r3.2HG0142100,HORVU.MOREX.r3.6HG0620920,AT1G11545,HORVU.MOREX.r3.3HG0308840,HORVU.MOREX.r3.1HG0084010,AT4G14230,AT2G02220,
HORVU.MOREX.r3.3HG0307160,HORVU.MOREX.r3.5HG0507470,AT2G01850,HORVU.MOREX.r3.5HG0480430,HORVU.MOREX.r3.7HG0752890,AT4G14240,AT5G58460,
HORVU.MOREX.r3.1HG0068140,HORVU.MOREX.r3.2HG0214670,AT2G36870,HORVU.MOREX.r3.5HG0483030,HORVU.MOREX.r3.2HG0112410,AT1G68530,AT4G25590,
HORVU.MOREX.r3.7HG0716180,HORVU.MOREX.r3.2HG0095520,AT4G14130,HORVU.MOREX.r3.2HG0184480,HORVU.MOREX.r3.3HG0257840,AT1G55180,AT5G35525,
HORVU.MOREX.r3.4HG0343000,HORVU.MOREX.r3.5HG0482660,AT4G28850,HORVU.MOREX.r3.4HG0412200,HORVU.MOREX.r3.7HG0649640,AT1G27770,AT1G07410,
HORVU.MOREX.r3.2HG0195300,HORVU.MOREX.r3.7HG0716180,AT2G26910,HORVU.MOREX.r3.5HG0480580,HORVU.MOREX.r3.2HG0203360,AT4G37640,AT5G59150,
HORVU.MOREX.r3.5HG0504930,HORVU.MOREX.r3.4HG0405580,AT1G12110,HORVU.MOREX.r3.5HG0511490,HORVU.MOREX.r3.3HG0316960,AT1G22940,AT5G57110,
HORVU.MOREX.r3.7HG0658130,HORVU.MOREX.r3.1HG0019330,AT1G32450,HORVU.MOREX.r3.6HG0543250,HORVU.MOREX.r3.5HG0485500,AT5G32470,AT2G44740,
HORVU.MOREX.r3.4HG0332850,HORVU.MOREX.r3.4HG0411760,AT1G59740,HORVU.MOREX.r3.7HG0669620,HORVU.MOREX.r3.4HG0387610,AT2G40890,AT5G09970,
HORVU.MOREX.r3.4HG0411330,HORVU.MOREX.r3.6HG0623790,AT2G02040,HORVU.MOREX.r3.2HG0204820,HORVU.MOREX.r3.1HG0006440,AT5G09970,AT1G51410,
HORVU.MOREX.r3.6HG0619210,HORVU.MOREX.r3.5HG0422600,AT3G45660,HORVU.MOREX.r3.2HG0096800,HORVU.MOREX.r3.2HG0109140,AT1G15950,AT1G68540,
HORVU.MOREX.r3.7HG0725980,HORVU.MOREX.r3.6HG0540760,AT3G45680,HORVU.MOREX.r3.7HG0669790,HORVU.MOREX.r3.2HG0109150,AT1G68540,AT2G33590,
HORVU.MOREX.r3.7HG0746550,HORVU.MOREX.r3.4HG0335910,AT5G46050,HORVU.MOREX.r3.7HG0648880,HORVU.MOREX.r3.7HG0730680,AT4G27250,AT2G33600,
HORVU.MOREX.r3.6HG0631810,HORVU.MOREX.r3.7HG0752890,AT1G19170,HORVU.MOREX.r3.3HG0328330,HORVU.MOREX.r3.4HG0335830,AT2G05760,AT5G24270,
HORVU.MOREX.r3.7HG0752890,HORVU.MOREX.r3.7HG0674710,AT1G14540,HORVU.MOREX.r3.7HG0729040,HORVU.MOREX.r3.4HG0339720,AT5G59490,AT1G55490,
HORVU.MOREX.r3.6HG0542030,HORVU.MOREX.r3.1HG0022910,AT2G24800,HORVU.MOREX.r3.5HG0510030,HORVU.MOREX.r3.2HG0123450,AT2G41380,AT1G50310,
HORVU.MOREX.r3.5HG0514290,HORVU.MOREX.r3.3HG0316960,AT2G38380,HORVU.MOREX.r3.1HG0053480,HORVU.MOREX.r3.6HG0610980,AT4G26270,AT3G19930,
HORVU.MOREX.r3.3HG0316960,HORVU.MOREX.r3.1HG0008130,AT3G17070,HORVU.MOREX.r3.7HG0738310,HORVU.MOREX.r3.7HG0657420,AT1G32350,AT2G40930,
HORVU.MOREX.r3.3HG0313020,HORVU.MOREX.r3.3HG0313010,AT4G37520,HORVU.MOREX.r3.2HG0199430,HORVU.MOREX.r3.5HG0425660,AT1G74470,AT3G14390,
HORVU.MOREX.r3.6HG0575530,HORVU.MOREX.r3.3HG0313020,AT5G05340,HORVU.MOREX.r3.5HG0509750,HORVU.MOREX.r3.4HG0342760,AT1G69380,AT5G56340,
HORVU.MOREX.r3.3HG0303820,HORVU.MOREX.r3.4HG0332540,AT5G51890,HORVU.MOREX.r3.6HG0607920,HORVU.MOREX.r3.3HG0312690,AT3G28480,AT5G58800,
HORVU.MOREX.r3.5HG0447870,HORVU.MOREX.r3.3HG0290320,AT4G09570,HORVU.MOREX.r3.6HG0628510,HORVU.MOREX.r3.3HG0314660,AT4G33910,AT1G01200,
HORVU.MOREX.r3.7HG0746590,HORVU.MOREX.r3.5HG0474580,AT4G21940,HORVU.MOREX.r3.2HG0095510,HORVU.MOREX.r3.3HG0314760,AT5G18900,AT3G54090,
HORVU.MOREX.r3.4HG0412150,HORVU.MOREX.r3.4HG0412730,AT5G04870,HORVU.MOREX.r3.7HG0658750,HORVU.MOREX.r3.1HG0076060,AT4G27270,AT5G60710,
HORVU.MOREX.r3.2HG0195130,HORVU.MOREX.r3.5HG0513910,AT5G03530,HORVU.MOREX.r3.3HG0316870,HORVU.MOREX.r3.4HG0405940,AT1G27440,AT2G41840,
HORVU.MOREX.r3.5HG0484810,HORVU.MOREX.r3.7HG0751150,AT5G35320,HORVU.MOREX.r3.3HG0309930,HORVU.MOREX.r3.7HG0643620,AT2G04570,AT1G13250,
HORVU.MOREX.r3.7HG0713820,HORVU.MOREX.r3.3HG0226220,AT3G46000,HORVU.MOREX.r3.2HG0097600,HORVU.MOREX.r3.5HG0510990,AT2G40250,AT1G19300,
HORVU.MOREX.r3.1HG0004220,HORVU.MOREX.r3.4HG0332500,AT4G25590,HORVU.MOREX.r3.5HG0436650,HORVU.MOREX.r3.3HG0228240,AT5G33370,AT3G01040,
HORVU.MOREX.r3.3HG0304230,HORVU.MOREX.r3.4HG0332520,AT5G59880,HORVU.MOREX.r3.6HG0540480,HORVU.MOREX.r3.3HG0228250,AT2G14580,AT5G54690,
HORVU.MOREX.r3.3HG0320350,HORVU.MOREX.r3.4HG0332600,AT1G22990,HORVU.MOREX.r3.4HG0396660,HORVU.MOREX.r3.1HG0005090,AT3G19690,AT4G06599,
HORVU.MOREX.r3.6HG0626050,HORVU.MOREX.r3.7HG0653830,AT4G17740,HORVU.MOREX.r3.2HG0190650,HORVU.MOREX.r3.4HG0334860,AT4G25790,AT5G54680,
HORVU.MOREX.r3.2HG0208290,HORVU.MOREX.r3.5HG0482670,AT1G07090,HORVU.MOREX.r3.7HG0716180,HORVU.MOREX.r3.7HG0715890,AT1G67060,AT3G12820,
HORVU.MOREX.r3.5HG0494000,HORVU.MOREX.r3.7HG0748890,AT5G28490,HORVU.MOREX.r3.7HG0657320,HORVU.MOREX.r3.1HG0092830,AT5G13490,AT4G09460,
HORVU.MOREX.r3.6HG0590820,HORVU.MOREX.r3.7HG0642050,AT5G13160,HORVU.MOREX.r3.2HG0108020,HORVU.MOREX.r3.3HG0286640,AT2G43790,AT2G37470,
HORVU.MOREX.r3.1HG0002100,HORVU.MOREX.r3.2HG0193700,AT1G01120,HORVU.MOREX.r3.2HG0195300,HORVU.MOREX.r3.3HG0222330,AT1G14560,AT1G06410,
HORVU.MOREX.r3.7HG0718170,HORVU.MOREX.r3.7HG0666880,AT2G33870,HORVU.MOREX.r3.2HG0195580,HORVU.MOREX.r3.4HG0396060,AT3G17090,AT1G68020,
HORVU.MOREX.r3.7HG0636540,HORVU.MOREX.r3.2HG0129450,AT5G47960,HORVU.MOREX.r3.6HG0544350,HORVU.MOREX.r3.1HG0092820,AT1G76950,AT2G18700,
HORVU.MOREX.r3.6HG0628260,HORVU.MOREX.r3.3HG0239530,AT2G38080,HORVU.MOREX.r3.1HG0078730,HORVU.MOREX.r3.5HG0525980,AT1G19730,AT1G19730,
HORVU.MOREX.r3.5HG0486750,HORVU.MOREX.r3.7HG0725450,AT2G14880,HORVU.MOREX.r3.3HG0258130,HORVU.MOREX.r3.2HG0096800,AT5G42980,AT1G45145,
HORVU.MOREX.r3.7HG0653670,HORVU.MOREX.r3.1HG0005040,AT4G23740,HORVU.MOREX.r3.7HG0746550,HORVU.MOREX.r3.3HG0228030,AT1G64480,AT1G59730,
HORVU.MOREX.r3.7HG0653680,HORVU.MOREX.r3.3HG0313110,AT3G08590,HORVU.MOREX.r3.2HG0112410,HORVU.MOREX.r3.7HG0725060,AT1G30270,AT3G08710,
HORVU.MOREX.r3.3HG0226800,HORVU.MOREX.r3.2HG0171990,AT1G23320,HORVU.MOREX.r3.3HG0244360,HORVU.MOREX.r3.3HG0303070,AT2G30360,AT5G42980,
HORVU.MOREX.r3.6HG0556600,HORVU.MOREX.r3.3HG0219240,AT5G63880,HORVU.MOREX.r3.1HG0062480,HORVU.MOREX.r3.5HG0525920,AT3G17510,AT3G12240,
HORVU.MOREX.r3.2HG0113040,HORVU.MOREX.r3.3HG0219270,AT5G19160,HORVU.MOREX.r3.1HG0057350,AT1G12780,AT4G30960,AT3G01930,
HORVU.MOREX.r3.4HG0408180,HORVU.MOREX.r3.7HG0665680,AT4G26050,HORVU.MOREX.r3.2HG0138420,AT1G08590,AT5G07070,AT3G53420,
AT1G34750,HORVU.MOREX.r3.1HG0048030,AT1G22180,HORVU.MOREX.r3.4HG0389370,AT1G09970,AT5G35410,AT3G62600,
AT2G30020,HORVU.MOREX.r3.3HG0219250,AT5G54940,HORVU.MOREX.r3.2HG0109140,AT2G26330,AT1G72680,AT1G47250,
AT1G16920,HORVU.MOREX.r3.7HG0738760,AT1G13250,HORVU.MOREX.r3.2HG0109150,AT5G57110,AT3G19450,AT5G42790,
AT2G31160,HORVU.MOREX.r3.5HG0495250,AT1G19300,HORVU.MOREX.r3.2HG0197560,AT5G43810,AT4G34230,AT1G55120,
AT5G28490,HORVU.MOREX.r3.2HG0217920,AT5G15470,HORVU.MOREX.r3.6HG0612110,AT3G09220,AT1G58290,AT1G26830,
AT1G07410,HORVU.MOREX.r3.3HG0228240,AT1G22210,HORVU.MOREX.r3.1HG0043000,AT4G39830,AT3G03710,AT3G19450,
AT5G02260,HORVU.MOREX.r3.3HG0228250,AT1G35910,HORVU.MOREX.r3.1HG0059350,AT5G60020,AT1G15960,AT4G34230,
AT1G01200,AT1G22280,AT1G78090,HORVU.MOREX.r3.3HG0284930,AT4G33050,AT1G80830,AT5G60790,
AT2G04570,AT1G34750,AT5G07830,HORVU.MOREX.r3.1HG0077430,AT2G01660,AT2G45670,AT1G09080,
AT2G30310,AT2G30020,AT1G17950,HORVU.MOREX.r3.7HG0751150,AT1G14330,AT1G71900,AT5G28540,
AT5G33370,AT4G31750,AT4G18160,HORVU.MOREX.r3.4HG0332500,AT2G02870,AT3G23870,AT1G15550,
AT1G30270,AT1G06400,AT5G46360,HORVU.MOREX.r3.4HG0332520,AT3G02110,AT1G01520,AT3G13610,
AT3G17510,AT1G16920,AT5G50800,HORVU.MOREX.r3.5HG0482670,AT3G15350,AT4G30600,AT1G78060,
AT3G23000,AT2G33870,AT4G34950,HORVU.MOREX.r3.3HG0314660,AT1G04430,AT1G04120,AT4G14746,
AT5G07070,AT3G46830,AT5G14120,HORVU.MOREX.r3.1HG0002330,AT4G18030,AT1G30400,AT1G06890,
AT3G03690,AT5G05290,AT1G17745,HORVU.MOREX.r3.3HG0228240,AT4G11290,AT3G59140,AT5G42420,
AT3G15350,AT5G39270,AT1G48900,HORVU.MOREX.r3.3HG0228250,AT4G37520,AT2G25070,AT5G57100,
AT3G21510,AT5G39300,AT3G55990,HORVU.MOREX.r3.4HG0405940,AT5G06720,AT4G25770,AT4G28320,
AT2G30090,AT1G32350,AT5G49010,HORVU.MOREX.r3.3HG0242370,AT5G51890,AT1G14340,AT5G67390,
AT4G11220,AT5G64210,AT5G24270,HORVU.MOREX.r3.7HG0728870,AT3G10080,AT1G43560,AT5G54240,
AT2G22420,AT2G04570,AT4G16490,HORVU.MOREX.r3.3HG0285000,AT1G47380,AT2G45140,AT2G19160,
AT2G37130,AT5G33370,AT1G25530,HORVU.MOREX.r3.7HG0666880,AT1G68410,AT1G76800,AT2G01170,
AT3G49110,AT1G67410,AT2G35680,HORVU.MOREX.r3.1HG0011020,AT1G52540,AT3G43630,AT2G26910,
AT4G11290,AT5G16890,AT4G34230,HORVU.MOREX.r3.1HG0041600,AT3G27170,AT1G19430,AT4G37680,
AT5G06720,AT3G09640,AT2G31570,HORVU.MOREX.r3.4HG0334860,AT1G64060,AT1G26850,AT5G41800,
AT1G09970,AT4G01440,AT4G05590,HORVU.MOREX.r3.6HG0611640,AT3G50530,AT1G78240,AT1G16520,
AT1G72300,AT4G30420,AT5G20090,HORVU.MOREX.r3.4HG0333180,AT3G51850,AT3G23300,AT1G68230,
AT2G02220,AT5G07050,AT3G05260,HORVU.MOREX.r3.2HG0190400,AT4G09570,AT4G18030,AT4G23630,
AT2G26330,AT4G17720,AT1G67950,HORVU.MOREX.r3.6HG0547090,AT5G66210,AT3G23340,AT1G44100,
AT5G62230,AT1G12110,AT2G30170,HORVU.MOREX.r3.3HG0314780,AT5G49720,AT1G34320,AT2G02800,
AT3G19580,AT1G18880,AT4G31750,HORVU.MOREX.r3.3HG0222330,AT1G47710,AT1G23330,AT5G56550,
AT2G38910,AT1G32450,AT1G04430,HORVU.MOREX.r3.2HG0106600,AT2G23810,AT1G63500,AT1G52540,
AT4G21940,AT1G52190,AT1G19430,HORVU.MOREX.r3.4HG0332000,AT2G41630,AT2G14520,AT3G09010,
AT1G68530,AT1G59740,AT3G45640,HORVU.MOREX.r3.5HG0509760,AT1G20650,AT2G06850,AT5G60410,
AT3G53430,AT5G46050,AT1G03620,HORVU.MOREX.r3.2HG0195290,AT3G24790,AT5G57530,AT3G05120,
AT5G60670,AT5G62680,AT4G16250,HORVU.MOREX.r3.2HG0205400,AT2G46370,AT5G57540,AT3G07565,
AT5G44740,AT2G24800,AT5G35630,HORVU.MOREX.r3.7HG0640150,AT1G71691,AT5G57550,AT4G00150,
AT1G10020,AT2G34060,AT2G15760,HORVU.MOREX.r3.2HG0111350,AT3G46830,AT5G57560,AT3G19580,
AT4G29310,AT2G37130,AT3G55180,HORVU.MOREX.r3.3HG0227830,AT1G06400,AT1G52540,AT3G16510,
AT4G13170,AT4G30170,AT1G30600,HORVU.MOREX.r3.3HG0311550,AT1G16920,AT1G18980,AT5G54160,
AT5G48760,AT4G37520,AT2G39980,HORVU.MOREX.r3.3HG0259510,AT4G18430,AT1G56330,AT4G28720,
AT5G57110,AT5G24070,AT5G07850,HORVU.MOREX.r3.5HG0509900,AT3G21870,AT5G56550,AT3G03480,
AT3G28180,AT5G40150,AT1G32940,HORVU.MOREX.r3.3HG0303070,AT5G06460,AT1G68410,AT4G09570,
AT3G21270,AT5G51890,AT5G67090,HORVU.MOREX.r3.6HG0630410,AT4G36920,AT1G16670,AT4G39050,
AT2G30210,AT2G02220,AT1G71830,HORVU.MOREX.r3.7HG0654590,AT1G76160,AT1G78290,AT2G39890,
AT5G03260,AT5G61480,AT4G33430,AT1G16920,AT1G79060,AT4G33950,AT2G41860,
AT2G40890,AT4G28720,AT5G08080,AT5G47960,AT3G09740,AT1G64060,AT3G51850,
AT5G09970,AT1G53510,AT1G72300,AT2G38080,AT1G68540,AT1G22190,AT4G23650,
AT2G37200,AT2G01450,AT2G02220,AT4G39830,AT2G33590,AT1G78080,AT1G02130,
AT1G34540,AT5G49720,AT1G73210,AT5G03260,AT3G12060,AT5G18270,AT4G17530,
AT3G05510,AT1G12000,AT4G03420,AT5G60020,AT5G58860,AT1G76890,AT1G56330,
AT2G05760,AT2G23810,AT5G50915,AT3G17070,AT1G79630,AT3G25860,AT1G70710,
AT5G59490,AT5G18680,AT3G50260,AT4G30170,AT4G32950,AT5G06270,,
AT4G05160,AT5G44740,AT1G18650,AT5G06720,AT1G17490,AT1G18100,,
AT3G13600,AT3G63380,AT5G61130,AT5G15180,AT5G54390,AT1G65480,,
AT3G52870,AT2G41310,AT5G02560,AT1G07090,AT4G03110,AT4G20370,,
AT2G21250,AT3G09220,AT5G27770,AT5G28490,AT3G09880,AT1G64390,,
AT2G21260,AT5G14290,AT2G31820,AT1G27770,AT1G05470,AT2G25340,,
AT5G01670,AT3G10290,AT1G17840,AT5G57110,AT2G37440,AT5G23220,,
AT1G67750,AT1G26370,AT5G11150,AT5G21150,AT2G30310,AT2G38180,,
AT1G52280,AT4G27250,AT4G18550,AT2G28950,AT1G25390,AT1G53510,,
AT3G13880,AT4G30470,AT1G71870,AT2G40610,AT4G32510,AT2G01450,,
AT5G06230,AT3G17020,AT3G11260,AT4G01630,AT1G35910,AT5G19010,,
AT4G03110,AT2G18700,,AT5G02260,AT1G78090,AT1G08230,,
AT5G67500,AT3G14000,,AT2G47250,AT5G43260,AT2G39890,,
AT5G49620,AT2G05760,,AT5G36250,AT5G18480,AT4G17530,,
AT2G17720,AT2G34190,,AT4G05160,AT3G48530,AT5G03530,,
AT4G33910,AT5G49990,,AT5G33370,AT3G46020,AT1G70710,,
AT5G66360,AT2G05920,,AT1G11530,AT5G50800,,,
AT3G57230,AT1G30100,,AT1G45145,AT2G37430,,,
AT5G54940,AT5G27030,,AT1G59730,AT2G28260,,,
AT1G50370,AT5G19160,,AT2G25950,AT2G16430,,,
AT4G37630,AT2G31960,,AT4G30610,AT4G22990,,,
AT4G06599,AT2G36850,,AT5G24270,AT5G51830,,,
AT3G59080,AT5G13000,,AT3G24503,AT4G01440,,,
AT1G26930,AT5G22630,,AT1G03010,AT1G60890,,,
AT1G61010,AT3G28480,,AT1G71930,AT3G23000,,,
AT3G48740,AT3G57230,,AT5G66300,AT4G18700,,,
AT1G06410,AT5G04770,,AT3G62110,AT4G24400,,,
AT3G17700,AT4G30710,,AT1G72300,AT5G07070,,,
AT5G15410,AT2G47160,,AT2G02220,AT5G35410,,,
AT3G04780,AT1G10430,,AT2G26330,AT5G57630,,,
AT3G08710,AT4G09460,,AT5G61480,AT3G56930,,,
AT3G53420,AT4G33920,,AT3G50260,AT2G27900,,,
AT4G00430,AT5G19420,,AT5G67190,AT3G12390,,,
AT5G47450,AT1G11080,,AT1G04610,AT2G17530,,,
AT5G60660,AT4G30610,,AT4G28720,AT5G02500,,,
AT2G38940,AT4G30810,,AT5G49720,AT5G28540,,,
AT5G43370,AT2G24765,,AT3G09520,AT3G19000,,,
AT1G68750,AT2G16850,,AT5G46700,AT5G63810,,,
AT2G27500,AT2G37180,,AT1G01120,AT5G64350,,,
AT1G10900,AT5G47450,,AT2G17800,AT2G04032,,,
AT3G13460,AT5G64200,,AT5G45970,AT5G19820,,,
AT3G13790,AT4G18480,,AT3G07330,AT5G42620,,,
AT3G52600,AT1G10900,,AT2G41310,AT5G26667,,,
AT2G35795,AT2G42820,,AT4G02690,AT1G06890,,,
AT1G77220,AT1G30270,,AT5G09970,AT1G77610,,,
AT3G12390,AT4G24400,,AT1G51410,AT4G19030,,,
AT3G19450,AT5G35410,,AT1G68540,AT4G38040,,,
AT4G34230,AT5G57630,,AT4G30470,AT1G66200,,,
AT4G39330,AT4G30160,,AT1G30950,AT1G77450,,,
AT4G14540,AT4G30210,,AT1G05520,AT1G23420,,,
AT5G56010,AT3G12390,,AT4G14160,AT4G00180,,,
AT2G21120,AT4G10480,,AT1G26190,AT1G03010,,,
AT3G59140,AT4G39330,,AT2G05920,AT4G15670,,,
AT5G63810,AT3G52880,,AT2G21250,AT4G15690,,,
AT1G22150,AT1G63460,,AT2G21260,AT5G66300,,,
AT5G63270,AT3G09440,,AT5G62420,AT5G55930,,,
AT3G17609,AT3G12580,,AT3G07160,AT2G01850,,,
AT1G20850,AT4G22910,,AT4G06744,AT2G36870,,,
AT3G19400,AT4G33080,,AT5G20280,AT3G25050,,,
AT3G48340,AT5G66720,,AT2G40070,AT4G14130,,,
AT3G61610,AT3G02460,,AT2G45490,AT1G12110,,,
AT5G57330,AT2G04410,,AT1G17420,AT1G32450,,,
