Phenotype,Orthogroup,Shared_species_count,Represented_species,Maize_gene,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
soilN,643341at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb402940,,,,,,,SORBI_3006G217900,LOC_Os02g01540,HORVU.MOREX.r3.1HG0041440,AT1G08590;AT1G09970;AT2G26330
soilN,643341at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb403550,,,,,,,SORBI_3006G217900,LOC_Os02g01540,HORVU.MOREX.r3.1HG0041440,AT1G08590;AT1G09970;AT2G26330
soilN,4590808at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb005530,Kelch motif family protein,"REPEAT-CONTAINING F-BOX FAMILY PROTEIN, PUTATIVE, EXPRESSED-RELATED (PTHR46122:SF25)",oxidase(PC00175),,,nucleus(GO:0005634),SORBI_3006G218600,,HORVU.MOREX.r3.2HG0195300,AT1G14330;AT2G02870
soilN,650970at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb011650,,,,,,,SORBI_3002G274600;SORBI_3006G218700;SORBI_3007G071100,,HORVU.MOREX.r3.2HG0195290,AT1G52540
soilN,4755763at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb030420,,,,,,,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640,AT5G57110
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb043110,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb043750,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,4755763at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb051470,,,,,,,SORBI_3003G420500,,HORVU.MOREX.r3.5HG0492640,AT5G57110
soilN,91193at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb056390,,,,,,,SORBI_3003G015700,,HORVU.MOREX.r3.6HG0560140;HORVU.MOREX.r3.7HG0669790,AT5G49720
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb067730,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb068210,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,650970at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb070460,,,,,,,SORBI_3002G274600;SORBI_3006G218700;SORBI_3007G071100,,HORVU.MOREX.r3.2HG0195290,AT1G52540
soilN,4590808at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb070480,F-box_kelch-repeat protein,OS04G0619300 PROTEIN (PTHR46122:SF6),oxidase(PC00175),,,nucleus(GO:0005634),SORBI_3006G218600,,HORVU.MOREX.r3.2HG0195300,AT1G14330;AT2G02870
soilN,168202at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb073810,,,,,,,SORBI_3009G003700,,HORVU.MOREX.r3.7HG0750280,AT5G43810
soilN,4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb084910,,,,,,,SORBI_3002G229100;SORBI_3006G058000,,HORVU.MOREX.r3.6HG0623790,AT3G02110
soilN,2496771at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb092720,,,,,,,SORBI_3001G358200,,HORVU.MOREX.r3.6HG0557060,AT4G33050
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb110250,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb113170,,,,,,,SORBI_3002G229100;SORBI_3006G058000,,HORVU.MOREX.r3.6HG0623790,AT3G02110
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb117300,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,4999782at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb125810,BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein,OS01G0121800 PROTEIN (PTHR45719:SF11),glycosyltransferase(PC00111),glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),,membrane(GO:0016020),SORBI_3001G240100,,HORVU.MOREX.r3.4HG0387580,AT3G15350
soilN,646613at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb129440,,,,,,,SORBI_3006G217100,,HORVU.MOREX.r3.2HG0106600,AT3G10080
soilN,179088at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb148270,,,,,,,SORBI_3005G005800,,HORVU.MOREX.r3.1HG0073500;HORVU.MOREX.r3.3HG0302440,AT3G09220;AT4G39830;AT5G60020
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb150340,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,434009at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb163690,,,,,,,SORBI_3003G331000,LOC_Os11g01280,HORVU.MOREX.r3.5HG0425710,
soilN,524414at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb187150,,,,,,,SORBI_3003G379600,,HORVU.MOREX.r3.5HG0513910,AT1G04430;AT4G18030
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb190570,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,2496771at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb196930,,,,,,,SORBI_3001G358200,,HORVU.MOREX.r3.6HG0557060,AT4G33050
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb207640,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb227950,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,646613at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb242750,Germin-like protein,GERMIN-LIKE PROTEIN SUBFAMILY 3 MEMBER 2 (PTHR31238:SF8),,manganese ion binding(GO:0030145);metal ion binding(GO:0046872),plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280),plasmodesma(GO:0009506);apoplast(GO:0048046),SORBI_3006G217100,,HORVU.MOREX.r3.2HG0106600,AT3G10080
soilN,651258at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb244120,Chloride channel protein,CHLORIDE CHANNEL PROTEIN (PTHR11689:SF145),ion channel(PC00133),voltage-gated chloride channel activity(GO:0005247);chloride channel activity(GO:0005254);chloride transmembrane transporter activity(GO:0015108);transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476),plant-type vacuole membrane(GO:0009705);membrane(GO:0016020);monoatomic ion channel complex(GO:0034702);chloride channel complex(GO:0034707),SORBI_3003G374400,,HORVU.MOREX.r3.2HG0205400,AT3G27170
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb251340,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,524414at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb255340,,,,,,,SORBI_3003G379600,,HORVU.MOREX.r3.5HG0513910,AT1G04430;AT4G18030
soilN,524414at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb272480,,,,,,,SORBI_3003G379600,,HORVU.MOREX.r3.5HG0513910,AT1G04430;AT4G18030
soilN,91193at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb280690,,,,,,,SORBI_3003G015700,,HORVU.MOREX.r3.6HG0560140;HORVU.MOREX.r3.7HG0669790,AT5G49720
soilN,301827at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb280720,Gnk2-homologous domain-containing protein,OS06G0253600 PROTEIN (PTHR32080:SF63),,,,plasma membrane(GO:0005886);plasmodesma(GO:0009506),SORBI_3004G247300;SORBI_3006G161200,,HORVU.MOREX.r3.2HG0184560,AT2G01660
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb281180,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,168202at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb297760,,,,,,,SORBI_3009G003700,,HORVU.MOREX.r3.7HG0750280,AT5G43810
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb322620,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb328990,,,,,,,SORBI_3001G045000;SORBI_3001G063300;SORBI_3009G249000,,HORVU.MOREX.r3.1HG0092880,AT3G50530;AT3G51850;AT4G09570;AT5G66210
soilN,4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb329580,,,,,,,SORBI_3002G229100;SORBI_3006G058000,,HORVU.MOREX.r3.6HG0623790,AT3G02110
soilN,640662at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb330530,,,,,,,SORBI_3001G328100;SORBI_3010G161600;SORBI_3010G161700;SORBI_3010G161800,,HORVU.MOREX.r3.2HG0112720;HORVU.MOREX.r3.7HG0667660,AT4G11290;AT4G37520;AT5G06720;AT5G51890
soilN,650895at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb331410,protein-serine_threonine phosphatase,PROTEIN-SERINE_THREONINE PHOSPHATASE (PTHR47992:SF108),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);kinase activity(GO:0016301);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),,SORBI_3001G399300,,HORVU.MOREX.r3.2HG0109530,AT1G47380;AT1G68410
soilN,646613at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb332460,,,,,,,SORBI_3006G217100,,HORVU.MOREX.r3.2HG0106600,AT3G10080
soilN,179088at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb384970,,,,,,,SORBI_3005G005800,,HORVU.MOREX.r3.1HG0073500;HORVU.MOREX.r3.3HG0302440,AT3G09220;AT4G39830;AT5G60020
soilN,650895at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb392700,,,,,,,SORBI_3001G399300,,HORVU.MOREX.r3.2HG0109530,AT1G47380;AT1G68410
soilN,434009at2759,4,Maize;Sorghum;Rice;Barley,Zm00001eb405560,,,,,,,SORBI_3003G331000,LOC_Os11g01280,HORVU.MOREX.r3.5HG0425710,
soilN,524414at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb428660,,,,,,,SORBI_3003G379600,,HORVU.MOREX.r3.5HG0513910,AT1G04430;AT4G18030
soilN,168202at33090,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb430920,,,,,,,SORBI_3009G003700,,HORVU.MOREX.r3.7HG0750280,AT5G43810
soilN,91193at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb433630,,,,,,,SORBI_3003G015700,,HORVU.MOREX.r3.6HG0560140;HORVU.MOREX.r3.7HG0669790,AT5G49720
soilN,627237at2759,3,Maize;Barley;Arabidopsis,Zm00001eb000390,,,,,,,,,HORVU.MOREX.r3.1HG0005090;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.7HG0715890,AT1G12110;AT1G32450;AT3G45680;AT5G62680
soilN,612680at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb000660,Xyloglucan endotransglucosylase_hydrolase,XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE (PTHR31062:SF303),hydrolase(PC00121),"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);transferase activity(GO:0016740);xyloglucan:xyloglucosyl transferase activity(GO:0016762);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)",carbohydrate metabolic process(GO:0005975);xyloglucan metabolic process(GO:0010411);cell wall biogenesis(GO:0042546);glucan metabolic process(GO:0044042);cell wall organization(GO:0071555),apoplast(GO:0048046),SORBI_3006G228100,,,AT2G01850;AT2G36870;AT3G25050;AT4G14130
soilN,4925430at2759,3,Maize;Barley;Arabidopsis,Zm00001eb001940,,,,,,,,,HORVU.MOREX.r3.2HG0112410,AT3G23000;AT4G18700;AT4G24400;AT5G07070;AT5G35410;AT5G57630
soilN,627237at2759,3,Maize;Barley;Arabidopsis,Zm00001eb003170,,,,,,,,,HORVU.MOREX.r3.1HG0005090;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.7HG0715890,AT1G12110;AT1G32450;AT3G45680;AT5G62680
soilN,2174516at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb003230,,,,,,,SORBI_3003G427500;SORBI_3008G015000,,,AT5G58860
soilN,4947690at2759,3,Maize;Sorghum;Rice,Zm00001eb004420,YTH domain-containing family protein,YTH DOMAIN-CONTAINING FAMILY PROTEIN (PTHR12357:SF30),RNA metabolism protein(PC00031),RNA binding(GO:0003723);mRNA binding(GO:0003729);N6-methyladenosine-containing RNA reader activity(GO:1990247),mRNA destabilization(GO:0061157),cytoplasm(GO:0005737),SORBI_3001G090500,LOC_Os03g07480,,
soilN,464974at2759,3,Maize;Barley;Arabidopsis,Zm00001eb006350,Hexosyltransferase,UDP-GLUCURONATE:XYLAN ALPHA-GLUCURONOSYLTRANSFERASE 2 (PTHR11183:SF44),glycosyltransferase(PC00111),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);metal ion binding(GO:0046872),xylan biosynthetic process(GO:0045492);cell wall organization(GO:0071555),Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794),,,HORVU.MOREX.r3.4HG0405920,AT5G18480
soilN,604461at2759,3,Maize;Sorghum;Barley,Zm00001eb006360,B3 domain-containing protein,B3 DOMAIN-CONTAINING PROTEIN OS03G0184500 (PTHR31391:SF4),,DNA binding(GO:0003677),,nucleus(GO:0005634),SORBI_3006G217500,,HORVU.MOREX.r3.4HG0405940;HORVU.MOREX.r3.7HG0643620,
soilN,2174516at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb009080,,,,,,,SORBI_3003G427500;SORBI_3008G015000,,,AT5G58860
soilN,5013265at2759,3,Maize;Barley;Arabidopsis,Zm00001eb012470,Heat shock cognate 70 kDa protein 2,HEAT SHOCK 70 KDA PROTEIN 4 (PTHR19375:SF381),Hsp70 family chaperone(PC00027),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);heat shock protein binding(GO:0031072);protein folding chaperone(GO:0044183);ATP-dependent protein folding chaperone(GO:0140662),response to heat(GO:0009408);response to virus(GO:0009615);protein refolding(GO:0042026),cytoplasm(GO:0005737),,,HORVU.MOREX.r3.4HG0387610,AT5G02500;AT5G28540
soilN,4925430at2759,3,Maize;Barley;Arabidopsis,Zm00001eb016180,,,,,,,,,HORVU.MOREX.r3.2HG0112410,AT3G23000;AT4G18700;AT4G24400;AT5G07070;AT5G35410;AT5G57630
soilN,4917248at2759,3,Maize;Barley;Arabidopsis,Zm00001eb017290,,,,,,,,,HORVU.MOREX.r3.7HG0752890,AT1G60890
soilN,495155at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb022740,Syndetin,SYNDETIN (PTHR13258:SF0),,SNARE binding(GO:0000149),"protein transport(GO:0015031);endocytic recycling(GO:0032456);retrograde transport, endosome to Golgi(GO:0042147)",cytosol(GO:0005829);EARP complex(GO:1990745),SORBI_3001G308400,,,AT2G27900
soilN,2042608at2759,3,Maize;Barley;Arabidopsis,Zm00001eb024870,,,,,,,,,HORVU.MOREX.r3.3HG0222580;HORVU.MOREX.r3.5HG0491590,AT1G68540;AT2G33590
soilN,4098531at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb028680,Boron transporter 1,BORON TRANSPORTER 3-RELATED (PTHR11453:SF110),secondary carrier transporter(PC00258),solute:inorganic anion antiporter activity(GO:0005452);antiporter activity(GO:0015297);transmembrane transporter activity(GO:0022857),monoatomic anion transport(GO:0006820);monoatomic ion homeostasis(GO:0050801);transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3009G064200,,,AT4G32510
soilN,4935827at2759,3,Maize;Barley;Arabidopsis,Zm00001eb036890,S-acyltransferase,S-ACYLTRANSFERASE (PTHR22883:SF317),protein modifying enzyme(PC00260),palmitoyltransferase activity(GO:0016409);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);protein-cysteine S-palmitoyltransferase activity(GO:0019706),protein targeting to membrane(GO:0006612),endoplasmic reticulum(GO:0005783);Golgi apparatus(GO:0005794);membrane(GO:0016020),,,HORVU.MOREX.r3.3HG0257840,AT3G56930
soilN,630255at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb041050,Putative LRR receptor-like serine_threonine-protein kinase,OS08G0442700 PROTEIN (PTHR47988:SF73),transmembrane signal receptor(PC00197),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);brassinosteroid mediated signaling pathway(GO:0009742);regulation of developmental growth(GO:0048638),plasma membrane(GO:0005886),SORBI_3007G059600,,,AT1G60800;AT2G23950;AT4G33430
soilN,673536at3193,3,Maize;Sorghum;Barley,Zm00001eb041730,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,"DIHYDROLIPOYLLYSINE-RESIDUE ACETYLTRANSFERASE COMPONENT 4 OF PYRUVATE DEHYDROGENASE COMPLEX, CHLOROPLASTIC (PTHR23151:SF83)",acetyltransferase(PC00038),"dihydrolipoyllysine-residue acetyltransferase activity(GO:0004742);transferase activity(GO:0016740);acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",pyruvate decarboxylation to acetyl-CoA(GO:0006086),pyruvate dehydrogenase complex(GO:0045254),SORBI_3007G134800,,HORVU.MOREX.r3.5HG0525980,
soilN,43813at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb042260,Trehalose 6-phosphate phosphatase,TREHALOSE-PHOSPHATE PHOSPHATASE 6-RELATED (PTHR43768:SF19),phosphatase(PC00181),,,,SORBI_3002G381500,,,AT1G35910;AT1G78090
soilN,534225at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb043650,Aquaporin NIP3-1,AQUAPORIN NIP5-1-RELATED (PTHR45724:SF11),,channel activity(GO:0015267),transmembrane transport(GO:0055085),membrane(GO:0016020),SORBI_3001G195800,,,AT4G19030
soilN,2174516at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb045340,,,,,,,SORBI_3003G427500;SORBI_3008G015000,,,AT5G58860
soilN,4809112at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb048820,,,,,,,SORBI_3007G091100;SORBI_3010G205200,,,AT2G16430
soilN,588513at2759,3,Maize;Barley;Arabidopsis,Zm00001eb050610,,,,,,,,,HORVU.MOREX.r3.4HG0342760,AT1G03010
soilN,281993at2759,3,Maize;Barley;Arabidopsis,Zm00001eb051830,Serine_threonine protein phosphatase 2A regulatory subunit,SERINE_THREONINE-PROTEIN PHOSPHATASE 2A 56 KDA REGULATORY SUBUNIT GAMMA ISOFORM (PTHR10257:SF3),protein phosphatase(PC00195),protein phosphatase regulator activity(GO:0019888);protein phosphatase activator activity(GO:0072542),signal transduction(GO:0007165);meiotic sister chromatid cohesion(GO:0051177),protein phosphatase type 2A complex(GO:0000159);cytoplasm(GO:0005737),,,HORVU.MOREX.r3.4HG0334450,AT3G09880
soilN,627237at2759,3,Maize;Barley;Arabidopsis,Zm00001eb053220,,,,,,,,,HORVU.MOREX.r3.1HG0005090;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.7HG0715890,AT1G12110;AT1G32450;AT3G45680;AT5G62680
soilN,5016903at2759,3,Maize;Barley;Arabidopsis,Zm00001eb054090,TOG domain-containing protein,TOG DOMAIN-CONTAINING PROTEIN (PTHR10527:SF66),transporter(PC00227),nuclear localization sequence binding(GO:0008139);nuclear import signal receptor activity(GO:0061608),protein import into nucleus(GO:0006606);protein transport(GO:0015031),nucleus(GO:0005634);cytoplasm(GO:0005737),,,HORVU.MOREX.r3.4HG0335830,AT5G19820
soilN,627237at2759,3,Maize;Barley;Arabidopsis,Zm00001eb055470,,,,,,,,,HORVU.MOREX.r3.1HG0005090;HORVU.MOREX.r3.4HG0334860;HORVU.MOREX.r3.7HG0715890,AT1G12110;AT1G32450;AT3G45680;AT5G62680
soilN,5017335at2759,3,Maize;Barley;Arabidopsis,Zm00001eb056220,Metalloendopeptidase,LEISHMANOLYSIN-LIKE PEPTIDASE (PTHR10942:SF0),metalloprotease(PC00153),metalloendopeptidase activity(GO:0004222);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),proteolysis(GO:0006508);cell adhesion(GO:0007155),cytoplasm(GO:0005737);membrane(GO:0016020),,,HORVU.MOREX.r3.4HG0339720,AT5G42620
soilN,588513at2759,3,Maize;Barley;Arabidopsis,Zm00001eb056580,,,,,,,,,HORVU.MOREX.r3.4HG0342760,AT1G03010
soilN,5002173at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb057180,Ser_arg-rich protein kinase 4,PROTEIN KINASE DOMAIN-CONTAINING PROTEIN-RELATED (PTHR47634:SF9),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),spliceosomal complex assembly(GO:0000245);regulation of mRNA processing(GO:0050684),,SORBI_3001G090100,,,AT2G17530
soilN,635367at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb059560,,,,,,,SORBI_3009G205300,,,AT3G10260
soilN,679692at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb062130,BHLH transcription factor (Fragment),TRANSCRIPTION FACTOR BHLH106-RELATED (PTHR45844:SF19),basic helix-loop-helix transcription factor(PC00055),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);protein dimerization activity(GO:0046983),regulation of DNA-templated transcription(GO:0006355),,SORBI_3001G041500,,,AT2G41130
soilN,173945at3193,3,Maize;Barley;Arabidopsis,Zm00001eb062460,AP2-EREBP transcription factor (Fragment),OS03G0818800 PROTEIN (PTHR32467:SF67),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355);regulation of flower development(GO:0009909);vegetative to reproductive phase transition of meristem(GO:0010228);regulation of seed development(GO:0080050),nucleus(GO:0005634),,,HORVU.MOREX.r3.5HG0525620,AT4G36920
soilN,794814at2759,3,Maize;Sorghum;Barley,Zm00001eb062530,Ras-related protein ARA-3,OS03G0819900 PROTEIN (PTHR47980:SF73),,nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),exocytosis(GO:0006887),plasma membrane(GO:0005886);membrane(GO:0016020),SORBI_3009G003900,,HORVU.MOREX.r3.3HG0228240;HORVU.MOREX.r3.3HG0228250;HORVU.MOREX.r3.3HG0303070;HORVU.MOREX.r3.5HG0525920,
soilN,158457at33090,3,Maize;Sorghum;Arabidopsis,Zm00001eb062910,Ras-related protein RABA2c,RAS-RELATED PROTEIN RAB11A (PTHR47978:SF28),small GTPase(PC00208),nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),,endosome(GO:0005768);Golgi apparatus(GO:0005794);endomembrane system(GO:0012505),SORBI_3009G003800,,,AT1G06400;AT1G16920;AT3G46830;AT4G18430
soilN,5014204at2759,3,Maize;Sorghum;Barley,Zm00001eb063410,Short-chain dehydrogenase reductase 3b,SHORT-CHAIN DEHYDROGENASE REDUCTASE 3B (PTHR42820:SF16),oxidoreductase(PC00176),,,,SORBI_3001G402200,,HORVU.MOREX.r3.1HG0006440;HORVU.MOREX.r3.2HG0109140;HORVU.MOREX.r3.2HG0109150,
soilN,381908at2759,3,Maize;Barley;Arabidopsis,Zm00001eb065120,,,,,,,,,HORVU.MOREX.r3.7HG0650330;HORVU.MOREX.r3.7HG0650650;HORVU.MOREX.r3.7HG0650710;HORVU.MOREX.r3.7HG0650790,AT2G30310
soilN,5002350at2759,3,Maize;Sorghum;Barley,Zm00001eb066520,Haloacid dehalogenase-like hydrolase domain-containing protein,OS08G0485900 PROTEIN (PTHR42896:SF4),phosphatase(PC00181),hydrolase activity(GO:0016787);metal ion binding(GO:0046872),,,SORBI_3007G090200,,HORVU.MOREX.r3.5HG0485500,
soilN,2690913at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb067520,,,,,,,SORBI_3005G034100;SORBI_3010G152000,,,AT3G12060
soilN,4782124at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb068710,Cyclic nucleotide-gated ion channel 9,CYCLIC NUCLEOTIDE-GATED ION CHANNEL 5-RELATED (PTHR45651:SF52),ligand-gated ion channel(PC00141),monoatomic ion channel activity(GO:0005216),monoatomic ion transport(GO:0006811);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085),endomembrane system(GO:0012505);membrane(GO:0016020),SORBI_3003G317700;SORBI_3004G113300;SORBI_3004G113400,,,AT2G28260
