GeneID	GeneName	Family_Subfamily	Protein_class	GO_MF	GO_BP	GO_CC
Zm00001eb062910	Ras-related protein RABA2c	RAS-RELATED PROTEIN RAB11A (PTHR47978:SF28)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)		endosome(GO:0005768);Golgi apparatus(GO:0005794);endomembrane system(GO:0012505)
Zm00001eb002030	Putative LRR receptor-like serine_threonine-protein kinase	F16P17.10 PROTEIN (PTHR48010:SF44)		protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		membrane(GO:0016020)
Zm00001eb103410	Subtilisin-like protease SBT3.9	SUBTILISIN-LIKE PROTEASE SBT3.9 (PTHR10795:SF847)	serine protease(PC00203)	serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	extracellular region(GO:0005576)
Zm00001eb204960	Peroxidase	PEROXIDASE (PTHR31388:SF45)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb400530	Nucleotidyl transferase domain-containing protein	MANNOSE-1-PHOSPHATE GUANYLTRANSFERASE ALPHA (PTHR22572:SF104)	transferase(PC00220)	nucleotidyltransferase activity(GO:0016779)		cytoplasm(GO:0005737)
Zm00001eb430920	Protein argonaute 2	PROTEIN ARGONAUTE 2-RELATED (PTHR22891:SF4)	translation initiation factor(PC00224)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521)	regulatory ncRNA-mediated gene silencing(GO:0031047)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb352400	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF373)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb289980	GDSL esterase_lipase	OS05G0468500 PROTEIN (PTHR45642:SF145)	hydrolase(PC00121)	"hydrolase activity, acting on ester bonds(GO:0016788)"		
Zm00001eb092720	IQ domain-containing protein IQM3	IQ DOMAIN-CONTAINING PROTEIN IQM3 (PTHR31250:SF10)				nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb178270	Amino acid transporter transmembrane domain-containing protein	AMINO ACID TRANSPORTER TRANSMEMBRANE DOMAIN-CONTAINING PROTEIN (PTHR48017:SF153)		amino acid transmembrane transporter activity(GO:0015171)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	membrane(GO:0016020)
Zm00001eb260190	GDP-mannose transporter GONST5	SOLUTE CARRIER FAMILY 35 MEMBER E4 (PTHR11132:SF293)	secondary carrier transporter(PC00258)	UDP-galactose transmembrane transporter activity(GO:0005459);UDP-glucose transmembrane transporter activity(GO:0005460);antiporter activity(GO:0015297)	nucleotide-sugar transmembrane transport(GO:0015780);UDP-glucose transmembrane transport(GO:0015786);transmembrane transport(GO:0055085);UDP-galactose transmembrane transport(GO:0072334)	Golgi apparatus(GO:0005794);membrane(GO:0016020)
Zm00001eb160330	Calcineurin B-like protein	CALCINEURIN B-LIKE PROTEIN 10 (PTHR23056:SF26)				
Zm00001eb282430	Peroxidase	PEROXIDASE (PTHR31235:SF388)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb030420	Calcium-transporting ATPase	"CALCIUM-TRANSPORTING ATPASE 10, PLASMA MEMBRANE-TYPE (PTHR24093:SF531)"	primary active transporter(PC00068)	nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872)	monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb151650	Purple acid phosphatase	PURPLE ACID PHOSPHATASE 10 (PTHR22953:SF86)	phosphatase(PC00181)	acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	cellular response to phosphate starvation(GO:0016036)	plant-type cell wall(GO:0009505)
Zm00001eb036270	RNA helicase	RNA HELICASE (PTHR18934:SF120)	RNA helicase(PC00032)	nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787)	"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)"	catalytic step 2 spliceosome(GO:0071013)
Zm00001eb429270	Putative calcium-dependent protein kinase family protein	CALCIUM-DEPENDENT PROTEIN KINASE 21-RELATED (PTHR24349:SF531)	non-receptor serine/threonine protein kinase(PC00167)			
Zm00001eb319480	Endoglucanase	ENDOGLUCANASE 24 (PTHR22298:SF129)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);plant-type cell wall loosening(GO:0009828);fruit dehiscence(GO:0010047);cellulose catabolic process(GO:0030245);fruit valve development(GO:1990059)	
Zm00001eb312000	Xyloglucan endotransglucosylase_hydrolase	XYLOGLUCAN ENDOTRANSGLUCOSYLASE_HYDROLASE (PTHR31062:SF103)	hydrolase(PC00121)	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);transferase activity(GO:0016740);xyloglucan:xyloglucosyl transferase activity(GO:0016762);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	carbohydrate metabolic process(GO:0005975);xyloglucan metabolic process(GO:0010411);cell wall biogenesis(GO:0042546);glucan metabolic process(GO:0044042);cell wall organization(GO:0071555)	apoplast(GO:0048046)
Zm00001eb070480	F-box_kelch-repeat protein	OS04G0619300 PROTEIN (PTHR46122:SF6)	oxidase(PC00175)			nucleus(GO:0005634)
Zm00001eb118090	Peroxidase	PEROXIDASE (PTHR31517:SF3)		catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
Zm00001eb227990	Ras-related protein RABA3	RAS-RELATED PROTEIN RABA3 (PTHR47979:SF118)	small GTPase(PC00208)	GTPase activity(GO:0003924);GTP binding(GO:0005525)	vesicle-mediated transport(GO:0016192)	endosome(GO:0005768)
Zm00001eb305600	CO(2)-response secreted protease	CO(2)-RESPONSE SECRETED PROTEASE (PTHR10795:SF769)	serine protease(PC00203)	serine-type endopeptidase activity(GO:0004252);peptidase activity(GO:0008233);serine-type peptidase activity(GO:0008236);hydrolase activity(GO:0016787)	proteolysis(GO:0006508);regulation of stomatal complex development(GO:2000038)	extracellular region(GO:0005576)
Zm00001eb244120	Chloride channel protein	CHLORIDE CHANNEL PROTEIN (PTHR11689:SF145)	ion channel(PC00133)	voltage-gated chloride channel activity(GO:0005247);chloride channel activity(GO:0005254);chloride transmembrane transporter activity(GO:0015108);transmembrane transporter activity(GO:0022857)	monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);monoatomic ion transmembrane transport(GO:0034220);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476)	plant-type vacuole membrane(GO:0009705);membrane(GO:0016020);monoatomic ion channel complex(GO:0034702);chloride channel complex(GO:0034707)
Zm00001eb129440	Germin-like protein	GERMIN-LIKE PROTEIN 1-1 (PTHR31238:SF36)		manganese ion binding(GO:0030145);metal ion binding(GO:0046872)	plasmodesmata-mediated intercellular transport(GO:0010497);regulation of root development(GO:2000280)	plasmodesma(GO:0009506);apoplast(GO:0048046)
Zm00001eb195210	Peroxidase	PEROXIDASE 52 (PTHR31388:SF24)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);lignin biosynthetic process(GO:0009809);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb332830	Argonaute4a	PROTEIN ARGONAUTE 4 (PTHR22891:SF157)	translation initiation factor(PC00224)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521)	regulatory ncRNA-mediated gene silencing(GO:0031047)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb003170	Proteasome component3	OS03G0138700 PROTEIN (PTHR11654:SF435)	transporter(PC00227)	transmembrane transporter activity(GO:0022857);tripeptide transmembrane transporter activity(GO:0042937);dipeptide transmembrane transporter activity(GO:0071916)	dipeptide transmembrane transport(GO:0035442);dipeptide transport(GO:0042938);tripeptide transport(GO:0042939);transmembrane transport(GO:0055085)	proteasome complex(GO:0000502);membrane(GO:0016020)
Zm00001eb251340	Peroxidase	PEROXIDASE (PTHR31235:SF401)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb112250	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 74-RELATED (PTHR13832:SF327)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);cation binding(GO:0043169);metal ion binding(GO:0046872)	signal transduction(GO:0007165)	
Zm00001eb319220	Ras-related protein RABA3	OS09G0527600 PROTEIN (PTHR47978:SF58)	small GTPase(PC00208)	GTPase activity(GO:0003924);GTP binding(GO:0005525)		endosome(GO:0005768);Golgi apparatus(GO:0005794)
Zm00001eb290670	Protein kinase domain-containing protein	OS05G0478300 PROTEIN (PTHR27000:SF571)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb204210	protein-serine_threonine phosphatase	"PROTEIN PHOSPHATASE 2C MEMBER 13, MITOCHONDRIAL-RELATED (PTHR13832:SF768)"	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);cation binding(GO:0043169);metal ion binding(GO:0046872)	signal transduction(GO:0007165)	
Zm00001eb213000	PITH domain-containing protein	OS03G0795500 PROTEIN (PTHR12175:SF5)	oxidoreductase(PC00176)			
Zm00001eb316130	Putative LRR receptor-like serine_threonine-protein kinase	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE RGI3 (PTHR27000:SF676)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);peptide receptor activity(GO:0001653);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		plasma membrane(GO:0005886)
Zm00001eb051470	Calcium-transporting ATPase	"CALCIUM-TRANSPORTING ATPASE 3, PLASMA MEMBRANE-TYPE (PTHR24093:SF420)"	primary active transporter(PC00068)	nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872)	monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb011650	Protein kinase superfamily protein	OS03G0264300 PROTEIN (PTHR47973:SF67)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740)		membrane(GO:0016020)
Zm00001eb408020	Uncharacterized protein	CALCIUM-DEPENDENT PROTEIN KINASE 12 (PTHR24349:SF166)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb009940	Peroxidase	PEROXIDASE 22-RELATED (PTHR31388:SF270)	peroxidase(PC00180)			
Zm00001eb368580	Laccase	LACCASE-5 (PTHR11709:SF431)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
Zm00001eb084910	Carboxypeptidase	CARBOXYPEPTIDASE (PTHR11802:SF123)	serine protease(PC00203)	carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787)	proteolysis(GO:0006508)	extracellular region(GO:0005576)
Zm00001eb378340	Putative leucine-rich repeat receptor-like protein kinase family protein	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE ERL1 (PTHR48056:SF34)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740);receptor serine/threonine kinase binding(GO:0033612)	embryo sac development(GO:0009553);stomatal complex morphogenesis(GO:0010103);plant ovule development(GO:0048481)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb187150	Methyltransferase	METHYLTRANSFERASE (PTHR10108:SF1064)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);transferase activity(GO:0016740)	methylation(GO:0032259)	cytoplasm(GO:0005737);endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
Zm00001eb009950	Peroxidase	PEROXIDASE (PTHR31388:SF6)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb067730	Peroxidase	PEROXIDASE 16-RELATED (PTHR31517:SF48)		peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
Zm00001eb297760	Argonaute105	PROTEIN ARGONAUTE 15 (PTHR22891:SF187)	translation initiation factor(PC00224)	nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA endonuclease activity(GO:0004521)	regulatory ncRNA-mediated gene silencing(GO:0031047)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb276250	Uncharacterized protein					
Zm00001eb277700	Ras-related protein RABA1d	RAS-RELATED PROTEIN RABA1D (PTHR47979:SF94)	small GTPase(PC00208)	nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	vesicle-mediated transport(GO:0016192)	endosome(GO:0005768);endomembrane system(GO:0012505)
Zm00001eb073370	Protein kinase domain-containing protein	INACTIVE LEUCINE-RICH REPEAT RECEPTOR KINASE XIAO-RELATED (PTHR27000:SF642)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);ATP binding(GO:0005524)	brassinosteroid mediated signaling pathway(GO:0009742)	plasma membrane(GO:0005886)
Zm00001eb070510	LRR receptor-like serine_threonine-protein kinase FLS2	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE FLS2 (PTHR27000:SF616)	transmembrane signal receptor(PC00197)	protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb001560	Peroxidase	PEROXIDASE (PTHR31235:SF417)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb245250	Protein NRT1_ PTR FAMILY 6.4	PROTEIN NRT1_ PTR FAMILY 6.4 (PTHR11654:SF451)	transporter(PC00227)	nitrate transmembrane transporter activity(GO:0015112);transmembrane transporter activity(GO:0022857)	response to nitrate(GO:0010167);nitrate transmembrane transport(GO:0015706);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb211960	NAD-dependent epimerase_dehydratase domain-containing protein	NAD-DEPENDENT EPIMERASE_DEHYDRATASE DOMAIN-CONTAINING PROTEIN (PTHR10366:SF659)	dehydratase(PC00091)	"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"		
Zm00001eb255340	Methyltransferase	PECTIN METHYLTRANSFERASE QUA2-RELATED (PTHR10108:SF899)	methyltransferase(PC00155)	methyltransferase activity(GO:0008168);transferase activity(GO:0016740)	methylation(GO:0032259)	cytoplasm(GO:0005737);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb125810	BGGP Beta-1-3-galactosyl-O-glycosyl-glycoprotein	OS01G0121800 PROTEIN (PTHR45719:SF11)	glycosyltransferase(PC00111)	glucuronosyltransferase activity(GO:0015020);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757)		membrane(GO:0016020)
Zm00001eb214900	RNA binding (RRM_RBD_RNP motifs) family protein	RRM-CONTAINING PROTEIN-RELATED (PTHR32343:SF9)	RNA splicing factor(PC00148)			
Zm00001eb072810	Calcium dependent protein kinase5	CALCIUM-DEPENDENT PROTEIN KINASE 6 (PTHR24349:SF81)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020)
Zm00001eb403550	Putative leucine-rich repeat transmembrane protein kinase family protein	F16P17.10 PROTEIN (PTHR48010:SF44)		protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)		membrane(GO:0016020)
Zm00001eb071890	Ubiquinol oxidase	ALTERNATIVE OXIDASE (PTHR31803:SF3)	oxidase(PC00175)	alternative oxidase activity(GO:0009916);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);ubiquinol:oxygen oxidoreductase activity(GO:0102721);superoxide-generating NADPH oxidase activity(GO:0106292)	alternative respiration(GO:0010230)	mitochondrion(GO:0005739);mitochondrial inner membrane(GO:0005743);membrane(GO:0016020);respiratory chain complex(GO:0098803)
Zm00001eb116350	Uncharacterized protein	OS07G0195100 PROTEIN (PTHR47980:SF45)		nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525)	exocytosis(GO:0006887)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb103730	MYB31 transcription factor31	TRANSCRIPTION REPRESSOR MYB4 (PTHR47999:SF23)	homeodomain transcription factor(PC00119)	transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)	regulation of DNA-templated transcription(GO:0006355);response to wounding(GO:0009611);negative regulation of DNA-templated transcription(GO:0045892);regulation of lignin biosynthetic process(GO:1901141)	nucleus(GO:0005634)
Zm00001eb016040	Putative LRR receptor-like serine_threonine-protein kinase IRK	LRR RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE IRK-RELATED (PTHR27000:SF558)	transmembrane signal receptor(PC00197)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301)		plasma membrane(GO:0005886)
Zm00001eb433630	Endoglucanase	ENDOGLUCANASE 5 (PTHR22298:SF41)		"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);cellulase activity(GO:0008810);hydrolase activity(GO:0016787);hydrolase activity, acting on glycosyl bonds(GO:0016798);carbohydrate binding(GO:0030246)"	polysaccharide catabolic process(GO:0000272);carbohydrate metabolic process(GO:0005975);cellulose catabolic process(GO:0030245)	extracellular region(GO:0005576)
Zm00001eb195100	Laccase	LACCASE-17-RELATED (PTHR11709:SF457)	oxidase(PC00175)	copper ion binding(GO:0005507);oxidoreductase activity(GO:0016491);metal ion binding(GO:0046872);hydroquinone:oxygen oxidoreductase activity(GO:0052716)	lignin catabolic process(GO:0046274)	apoplast(GO:0048046)
Zm00001eb281180	Peroxidase	PEROXIDASE (PTHR31235:SF415)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb384590	Amino acid permease 1	AMINO ACID PERMEASE 1 (PTHR48017:SF59)		amino acid transmembrane transporter activity(GO:0015171);symporter activity(GO:0015293)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb106460	Histone H2A	HISTONE H2A.3-RELATED (PTHR23430:SF419)	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	heterochromatin formation(GO:0031507)	nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694)
Zm00001eb383870	Peroxidase	PEROXIDASE (PTHR31388:SF23)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb339070	Reticulon-like protein	RETICULON-LIKE PROTEIN (PTHR10994:SF131)	membrane traffic protein(PC00150)		response to bacterium(GO:0009617)	endoplasmic reticulum membrane(GO:0005789)
Zm00001eb275630	Potassium transporter	POTASSIUM TRANSPORTER 8 (PTHR30540:SF10)	transporter(PC00227)	potassium ion transmembrane transporter activity(GO:0015079)	monoatomic ion transport(GO:0006811);potassium ion transport(GO:0006813);potassium ion transmembrane transport(GO:0071805)	membrane(GO:0016020)
Zm00001eb258010	protein-serine_threonine phosphatase	PROTEIN PHOSPHATASE 2C 27-RELATED (PTHR13832:SF684)	protein phosphatase(PC00195)	phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)	signal transduction(GO:0007165)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb335710	Protein NRT1_ PTR FAMILY 8.1	SOLUTE CARRIER FAMILY 15 MEMBER 4 (PTHR11654:SF509)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb146720	Tubby-like F-box protein	TUBBY-LIKE F-BOX PROTEIN 3 (PTHR16517:SF39)	scaffold/adaptor protein(PC00226)			
Zm00001eb194740	Peroxidase	CLASS III PEROXIDASE 31 (PTHR31517:SF44)		catalytic activity(GO:0003824);peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576)
Zm00001eb383860	Peroxidase	PEROXIDASE (PTHR31388:SF99)	peroxidase(PC00180)	peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)	response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)	extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb256120	WAT1-related protein	WAT1-RELATED PROTEIN (PTHR31218:SF21)		transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb371840	Protein NRT1_ PTR FAMILY 5.8	PROTEIN NRT1_ PTR FAMILY 5.8 (PTHR11654:SF82)	transporter(PC00227)	transmembrane transporter activity(GO:0022857)	transmembrane transport(GO:0055085)	membrane(GO:0016020)
Zm00001eb150340	Calcium-dependent protein kinase 17	CALCIUM-DEPENDENT PROTEIN KINASE 2 (PTHR24349:SF353)	non-receptor serine/threonine protein kinase(PC00167)	nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium/calmodulin-dependent protein kinase activity(GO:0004683);calcium ion binding(GO:0005509);calmodulin binding(GO:0005516);ATP binding(GO:0005524);calcium-dependent protein serine/threonine kinase activity(GO:0009931);kinase activity(GO:0016301);transferase activity(GO:0016740);metal ion binding(GO:0046872)	intracellular signal transduction(GO:0035556)	nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb058370	C2H2-type domain-containing protein	ZINC FINGER PROTEIN 1 (PTHR45988:SF91)	C2H2 zinc finger transcription factor(PC00248)	transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	regulation of DNA-templated transcription(GO:0006355)	nucleus(GO:0005634)
